scenario,seed,orders,mean_total_time,p95_total_time,mean_processing_time,mean_courier_wait,express_wait_over_6,picker_utilisation,packer_utilisation,mean_pick_queue,empty_courier_fraction,completed_after_close,drain_duration
baseline,2025,4047,23.536443777830616,42.596425798713426,13.52594507170908,10.010498706121536,0.0029469548133595285,0.8200120312114844,0.8205540569504342,3.2950249585926836,0,22,40.0
baseline,2026,3896,21.884937948146533,40.123278192768566,11.786884930006071,10.09805301814046,0.00891089108910891,0.7741595781695016,0.7860020398926499,2.170945531660146,0,20,20.0
baseline,2027,3928,20.388944955944726,36.30428610918034,10.484717613901275,9.90422734204345,0.0020597322348094747,0.784243242492678,0.7725473349510952,1.9630416487063833,0,32,20.0
baseline,2028,4040,22.413556753643757,41.644216440498894,12.220498582276964,10.193058171366793,0.005876591576885406,0.8019787909824229,0.8177283960418238,1.9951500537722364,0,35,20.0
baseline,2029,4163,24.733273502009023,51.03821779947157,14.692799371355404,10.04047413065362,0,0.8345485752362586,0.8505805898408678,3.775039124267696,0,22,20.0
baseline,2030,4071,22.476641240256413,40.64819422196797,12.531785047139651,9.94485619311676,0.0029211295034079843,0.8095829306425714,0.8278382173052127,2.4689102065281214,0,21,20.0
baseline,2031,3915,21.165721325593353,37.62608566713425,11.087824060223431,10.077897265369922,0,0.7734484030535442,0.7849367327173431,2.361893286534165,0,16,20.0
baseline,2032,3983,21.772738011653136,40.407436001461974,11.880722386046722,9.892015625606415,0.004020100502512563,0.7916827704088889,0.8055335705727958,2.2021788484740283,0,16,0.0
baseline,2033,3976,21.036996503471837,37.27087027993957,11.171904359906826,9.86509214356501,0.0019267822736030828,0.7956255268573073,0.8010266663573745,2.225700990964424,0,24,20.0
baseline,2034,4069,23.969548863574765,45.065553570932934,14.01839180087697,9.951157062697794,0.009671179883945842,0.81589424066919,0.820228540361432,3.7458140280101704,0,29,20.0
baseline,2035,3982,22.72324249365081,42.47260410559102,12.831165376162597,9.892077117488213,0.01044932079414838,0.8041711653807535,0.805049539582314,2.855324966708134,0,40,20.0
baseline,2036,3991,20.872801589929175,36.81531846815142,10.836441875542276,10.036359714386897,0.0041279669762641896,0.7848757148777634,0.7930543283643153,2.2532146806431936,0,19,20.0
baseline,2037,4012,21.889331871912635,39.095345781055585,11.959093771293265,9.93023810061937,0.01020408163265306,0.804834364099577,0.7951013060103367,2.7076657593514044,0,14,20.0
baseline,2038,4097,24.893896610520578,45.17569085761352,14.871288842473088,10.022607768047488,0.004775549188156638,0.8201106550353289,0.8507507150277964,2.6217302896523824,0,23,20.0
baseline,2039,3956,22.738986075359357,41.37055732600447,12.734399920528096,10.00458615483126,0.009930486593843098,0.8078509344233272,0.799636002638035,2.7753036183081767,0,20,20.0
baseline,2040,3966,21.890346009356907,40.75687675756217,11.771639886313796,10.118706123043111,0.0010121457489878543,0.8088749468415095,0.7984431879255395,2.4873820841464456,0,23,20.0
baseline,2041,3972,21.660085470914446,38.782530494385355,11.595526726106124,10.064558744808322,0.006711409395973154,0.7808400891667697,0.7958829540311306,2.4120977284791785,0,36,40.0
baseline,2042,3959,20.750355510363214,37.60877128546008,10.849542408606323,9.900813101756889,0.0021208907741251328,0.7905530827101451,0.785132546695926,2.09634394488236,0,25,20.0
baseline,2043,4033,22.7164578660158,43.46682076612342,12.800350623906157,9.916107242109645,0.0060790273556231,0.7967936720734429,0.8388749503724273,2.3700775414113218,0,23,20.0
baseline,2044,4063,21.26090381534057,37.98333667276529,11.19512624257286,10.065777572767711,0.0030272452068617556,0.7937608632902802,0.8205456393216783,2.2838681066930926,0,23,20.0
extra_picker,2025,4047,20.146278223098715,35.480614570328726,10.231604646565465,9.914673576533252,0,0.6129435238367218,0.8203444329135731,0.4877494305251874,0,22,20.0
extra_picker,2026,3896,20.113890720220454,37.72864229973925,9.969852048302972,10.14403867191748,0,0.5806022836727798,0.786656082533339,0.3679603341732616,0,20,20.0
extra_picker,2027,3928,18.35737672783882,32.33124892799515,8.333879594341656,10.023497133497163,0,0.587644659504322,0.7733343561323165,0.351715898678765,0,28,20.0
extra_picker,2028,4040,19.859101308099202,36.295918756388346,9.85637205748892,10.002729250610281,0,0.6019461767524011,0.8166017048956031,0.33038356329476704,0,34,20.0
extra_picker,2029,4163,20.135627573592018,34.925357124251605,10.037698768152465,10.097928805439553,0,0.6258863006603691,0.8501574405006147,0.5425621690180825,0,22,20.0
extra_picker,2030,4071,20.300271797858965,37.52197772521413,10.32821062355512,9.972061174303844,0.0019474196689386564,0.6075579144907136,0.8282448170202068,0.45999124229413363,0,20,20.0
extra_picker,2031,3915,18.453077647432433,32.00163559793691,8.51952975999357,9.933547887438863,0,0.5796743286796981,0.7846412559155453,0.3708851330070943,0,14,20.0
extra_picker,2032,3983,19.63364687431947,36.547516460143925,9.539148195276091,10.094498679043378,0,0.5936633602120279,0.8053217431327057,0.43459637557190733,0,17,0.0
extra_picker,2033,3976,18.823716825403427,32.84633644770474,8.917592906984117,9.90612391841931,0,0.5967189267212234,0.7999442628772744,0.4541965057208836,0,24,20.0
extra_picker,2034,4069,19.826024656152793,35.269096112938314,9.79304041958904,10.032984236563752,0,0.6120484652298633,0.820348610152433,0.594750216240718,0,29,20.0
extra_picker,2035,3982,19.533890409271102,35.935073767757785,9.765680382545446,9.768210026725656,0,0.6009374806757847,0.802706736002758,0.48117333472329826,0,31,20.0
extra_picker,2036,3991,18.597682572139146,32.69439111590418,8.573885054625421,10.023797517513724,0,0.5885695178468789,0.7931409613355804,0.38911835771563275,0,19,20.0
extra_picker,2037,4012,19.02791611917086,32.95500267764055,8.916464428419477,10.111451690751384,0,0.6028536250255707,0.7936660579567695,0.44922797310850776,0,14,20.0
extra_picker,2038,4097,21.52069670815299,40.647600249315474,11.46561867589291,10.05507803226008,0,0.6152837113986485,0.8507183705461059,0.4924719592939049,0,22,20.0
extra_picker,2039,3956,19.71573026140587,34.94566777530872,9.782083660398042,9.933646601007826,0,0.6056065281957064,0.7996885238545244,0.4440152732841466,0,19,20.0
extra_picker,2040,3966,18.64274136992171,32.23973233700008,8.654572709125668,9.98816866079604,0,0.6051317798152324,0.798166842753683,0.4003198285864681,0,14,20.0
extra_picker,2041,3972,19.16763834100508,34.18134736424054,9.111509718303395,10.056128622701683,0,0.5866293662452152,0.7985170938196214,0.3692762681962988,0,29,20.0
extra_picker,2042,3959,18.57808978669562,32.59053019555813,8.48444813730106,10.09364164939456,0,0.5910884738134897,0.7830375633848692,0.35732628038377606,0,20,20.0
extra_picker,2043,4033,19.92449158781099,36.70752029828509,9.972365718650396,9.952125869160595,0,0.5971908112090863,0.838823044736145,0.3939098432247524,0,27,20.0
extra_picker,2044,4063,18.509242481350906,32.07482056728213,8.598212108407024,9.911030372943884,0,0.5934797890149668,0.8182395774610843,0.3854448884873223,0,14,20.0
extra_packer,2025,4047,19.78057523322968,37.348346144345214,9.562875262910424,10.217699970319254,0.0029469548133595285,0.8200120312114844,0.5472505134413986,3.2950249585926836,0,22,20.0
extra_packer,2026,3896,18.18370591529232,32.86377218553025,8.186438717987736,9.997267197304586,0.00891089108910891,0.7741595781695016,0.5236395970884754,2.170945531660146,0,17,20.0
extra_packer,2027,3928,17.832936809305213,31.343276710997998,7.840208464474782,9.992728344830432,0.0020597322348094747,0.784243242492678,0.5159139744812806,1.9630416487063833,0,31,20.0
extra_packer,2028,4040,17.878903288297224,31.119411923194093,7.919298179933079,9.959605108364144,0.005876591576885406,0.8019787909824229,0.5443864683792599,1.9951500537722364,0,26,20.0
extra_packer,2029,4163,20.169257167634775,39.52021175753089,10.080425177992371,10.088831989642404,0,0.8345485752362586,0.5667716270004098,3.775039124267696,0,19,20.0
extra_packer,2030,4071,18.610269341460047,33.27183390849859,8.529247908063638,10.081021433396408,0.0029211295034079843,0.8095829306425714,0.5509410534368572,2.4689102065281214,0,21,20.0
extra_packer,2031,3915,18.345797953945844,33.07205804670002,8.34328962277068,10.002508331175163,0,0.7734484030535442,0.5232911551448952,2.361893286534165,0,16,20.0
extra_packer,2032,3983,18.207586116097023,32.73012251650198,8.146032212389793,10.06155390370723,0.004020100502512563,0.7916827704088889,0.5368811620884704,2.2021788484740283,0,16,0.0
extra_packer,2033,3976,17.963555859608658,32.69178281967925,8.171770778138207,9.79178508147045,0.0019267822736030828,0.7956255268573073,0.5335425166878494,2.225700990964424,0,22,20.0
extra_packer,2034,4069,20.037378797219393,38.74176560870433,10.037426373336238,9.999952423883157,0.009671179883945842,0.81589424066919,0.5474071896312841,3.7458140280101704,0,25,20.0
extra_packer,2035,3982,18.870906983856738,35.007428405730025,8.94875288717105,9.922154096685686,0.01044932079414838,0.8041711653807535,0.5351023016828828,2.855324966708134,0,16,20.0
extra_packer,2036,3991,18.216825644050946,32.41187210793896,8.16130262598506,10.055523018065887,0.0041279669762641896,0.7848757148777634,0.528506835758452,2.2532146806431936,0,19,20.0
extra_packer,2037,4012,18.56430694668831,34.097045891416656,8.772532690210681,9.791774256477627,0.01020408163265306,0.804834364099577,0.5302321761003221,2.7076657593514044,0,13,20.0
extra_packer,2038,4097,18.728409668855946,34.430088114213504,8.780183506345455,9.948226162510489,0.004775549188156638,0.8201106550353289,0.5672776168549862,2.6217302896523824,0,22,20.0
extra_packer,2039,3956,19.018055842801218,34.479483512457136,9.02357336999219,9.994482472809027,0.009930486593843098,0.8078509344233272,0.5326128722147354,2.7753036183081767,0,19,20.0
extra_packer,2040,3966,18.667955691656456,34.080956122557836,8.627829699548984,10.040125992107471,0.0010121457489878543,0.8088749468415095,0.5320617018488674,2.4873820841464456,0,14,20.0
extra_packer,2041,3972,18.35192837121656,33.59139932272501,8.36482426995503,9.98710410126153,0.006711409395973154,0.7808400891667697,0.530867723572327,2.4120977284791785,0,36,20.0
extra_packer,2042,3959,17.946617192606205,31.821813260648923,7.9644486172439475,9.982168575362255,0.0021208907741251328,0.7905530827101451,0.5218730544722368,2.09634394488236,0,24,20.0
extra_packer,2043,4033,18.337583578884633,33.02143643679028,8.413467438484913,9.92411614039972,0.0060790273556231,0.7967936720734429,0.5589942556837596,2.3700775414113218,0,18,20.0
extra_packer,2044,4063,18.14497962139521,32.513186094588946,8.069460851928467,10.075518769466743,0.0030272452068617556,0.7937608632902802,0.5460128540258761,2.2838681066930926,0,14,20.0
faster_courier,2025,4047,18.55250505779108,35.96338725330861,13.52594507170908,5.026559986082002,0.0029469548133595285,0.8200120312114844,0.8205540569504342,3.2950249585926836,0,17,30.0
faster_courier,2026,3896,16.715533430692734,32.953735974931305,11.786884930006071,4.928648500686661,0.00891089108910891,0.7741595781695016,0.7860020398926499,2.170945531660146,0,14,20.0
faster_courier,2027,3928,15.46022805166774,29.472091881730194,10.484717613901275,4.975510437766464,0.0020597322348094747,0.784243242492678,0.7725473349510952,1.9630416487063833,0,21,20.0
faster_courier,2028,4040,17.247715169485343,35.82024292429742,12.220498582276964,5.027216587208378,0.005876591576885406,0.8019787909824229,0.8177283960418238,1.9951500537722364,0,22,20.0
faster_courier,2029,4163,19.68883439559538,46.30932621000193,14.692799371355404,4.996035024239975,0,0.8345485752362586,0.8505805898408678,3.775039124267696,0,11,10.0
faster_courier,2030,4071,17.546648609453168,34.336969949904415,12.531785047139651,5.014863562313517,0.0029211295034079843,0.8095829306425714,0.8278382173052127,2.4689102065281214,0,15,10.0
faster_courier,2031,3915,16.080152998645715,30.771628535047057,11.087824060223431,4.9923289384222835,0,0.7734484030535442,0.7849367327173431,2.361893286534165,0,9,10.0
faster_courier,2032,3983,16.826717424156275,34.14467453892826,11.880722386046722,4.945995038109553,0.004020100502512563,0.7916827704088889,0.8055335705727958,2.2021788484740283,0.004,8,0.0
